epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.53858,3.55233,5.77802,4.22411,0,0,0,0,3.4927,5.32436,4.1622,3.69E-05,3.69E-05,3.69E-05
2,7.42516,3.53182,5.67416,4.20341,0,0,0,0,3.49396,5.31384,4.1645,7.35E-05,7.35E-05,7.35E-05
3,10.1825,3.55135,5.52554,4.17511,0,0,0,0,3.48706,5.26194,4.15652,0.000108573,0.000108573,0.000108573
4,12.9989,3.64674,5.41183,4.15731,0.00772,0.00349,0.00145,0.00053,3.44697,4.99158,4.11849,0.000111931,0.000111931,0.000111931
5,15.9136,3.53531,5.16736,4.11397,0.00625,0.02493,0.00812,0.00226,3.39345,5.02397,4.07887,0.000109575,0.000109575,0.000109575
6,19.1274,3.5305,5.06855,4.09961,0.00356,0.04796,0.00944,0.00262,3.34832,5.06744,4.09084,0.000107219,0.000107219,0.000107219
7,22.3334,3.55864,4.94531,4.09552,0.00403,0.06602,0.00785,0.00206,3.29216,6.24411,4.10594,0.000104863,0.000104863,0.000104863
8,25.5657,3.40158,4.82873,4.05669,0.55555,0.01992,0.01077,0.00296,3.26071,6.75905,4.09783,0.000102507,0.000102507,0.000102507
9,28.8178,3.46194,4.80063,4.0375,0.60015,0.01719,0.01467,0.00379,3.24624,6.14607,4.07134,0.00010015,0.00010015,0.00010015
10,32.1814,3.42718,4.66433,4.01232,0.00553,0.11601,0.01852,0.00484,3.23664,6.0168,4.04838,9.78E-05,9.78E-05,9.78E-05
11,35.4643,3.3859,4.4254,3.97657,0.57979,0.03282,0.01804,0.00531,3.21216,6.4035,4.0215,9.54E-05,9.54E-05,9.54E-05
12,38.8309,3.37373,4.50855,3.96132,0.51971,0.03947,0.02074,0.00651,3.19187,6.72773,3.98429,9.31E-05,9.31E-05,9.31E-05
13,42.0921,3.33771,4.44369,3.9144,0.49901,0.045,0.02024,0.00628,3.18019,5.66983,3.95051,9.07E-05,9.07E-05,9.07E-05
14,45.4928,3.31766,4.28633,3.89489,0.02362,0.15082,0.02401,0.00705,3.15729,5.42127,3.92708,8.84E-05,8.84E-05,8.84E-05
