epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,
1,4.44567,3.54323,5.74249,4.34618,0,0,0,0,3.49087,5.32751,4.16054,3.69E-05,3.69E-05,3.69E-05,
2,6.926,3.54529,5.70426,4.29772,0,0,0,0,3.48996,5.32885,4.16227,7.35E-05,7.35E-05,7.35E-05,
3,9.32536,3.55762,5.69503,4.27594,0,0,0,0,3.4868,5.33036,4.16333,0.000108573,0.000108573,0.000108573,
4,11.7297,3.66633,5.70828,4.2645,0,0,0,0,3.48453,5.33729,4.16416,0.000111931,0.000111931,0.000111931,
5,14.1383,3.62814,5.69082,4.24105,0,0,0,0,3.4787,5.34055,4.16251,0.000109575,0.000109575,0.000109575,
6,16.6001,3.62585,5.68523,4.23648,0,0,0,0,3.46723,5.31211,4.16112,0.000107219,0.000107219,0.000107219,
7,19.0946,3.66531,5.64357,4.23609,9.00E-05,0.00056,1.00E-05,0,3.45814,5.23423,4.18745,0.000104863,0.000104863,0.000104863,
8,21.5679,3.52274,5.61425,4.22084,0.00011,0.00371,2.00E-05,0,3.45943,5.17341,4.24544,0.000102507,0.000102507,0.000102507,
9,24.0647,3.58737,5.60425,4.20243,0.00019,0.00475,0.0001,1.00E-05,3.4621,5.16143,4.25108,0.00010015,0.00010015,0.00010015,
10,26.5499,3.62105,5.65461,4.19601,0.00016,0.0048,0.00011,1.00E-05,3.44917,5.12885,4.25412,9.78E-05,9.78E-05,9.78E-05,
11,29.0646,3.62138,5.54686,4.20121,0.00011,0.00393,0.0004,6.00E-05,3.44559,5.09339,4.25172,9.54E-05,9.54E-05,9.54E-05,
12,31.6021,3.5398,5.59309,4.18046,0.00169,0.00837,0.00117,0.0004,3.44905,5.07146,4.24872,9.31E-05,9.31E-05,9.31E-05,
