epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.50697,1.16773,2.08989,1.27889,0.68347,0.51388,0.61451,0.45434,1.0836,1.09875,1.11232,3.69E-05,3.69E-05,3.69E-05
2,7.2181,1.24465,1.6603,1.29523,0.68084,0.53907,0.62524,0.46401,1.08277,1.07399,1.11461,7.35E-05,7.35E-05,7.35E-05
3,9.82795,1.28311,1.70294,1.32679,0.6905,0.55011,0.63776,0.47106,1.0797,1.06394,1.11272,0.000108573,0.000108573,0.000108573
4,12.4548,1.27233,1.5819,1.28071,0.67026,0.58659,0.65391,0.48248,1.07729,1.05088,1.10851,0.000111931,0.000111931,0.000111931
5,15.1515,1.1392,1.50259,1.22634,0.74757,0.55974,0.67397,0.49287,1.07169,1.06001,1.10685,0.000109575,0.000109575,0.000109575
6,17.9034,1.16766,1.57066,1.22235,0.7906,0.55513,0.672,0.49899,1.06463,1.03302,1.09812,0.000107219,0.000107219,0.000107219
7,20.5163,1.16172,1.46339,1.23639,0.79499,0.56788,0.68002,0.50936,1.05793,1.02695,1.09402,0.000104863,0.000104863,0.000104863
8,23.136,1.19935,1.46282,1.23929,0.73772,0.61044,0.69857,0.52126,1.05039,0.99929,1.09048,0.000102507,0.000102507,0.000102507
9,25.7452,1.20817,1.5679,1.27129,0.78798,0.58935,0.70968,0.53406,1.0408,0.96633,1.08722,0.00010015,0.00010015,0.00010015
10,28.3801,1.13234,1.36023,1.20937,0.80395,0.60589,0.71417,0.53925,1.02569,0.94313,1.07928,9.78E-05,9.78E-05,9.78E-05
11,31.0631,1.14351,1.3838,1.21597,0.78535,0.63135,0.72664,0.54909,1.01439,0.93535,1.07474,9.54E-05,9.54E-05,9.54E-05
12,33.7037,1.09545,1.33279,1.19071,0.79628,0.64452,0.73186,0.55033,1.01014,0.93355,1.07039,9.31E-05,9.31E-05,9.31E-05
13,36.3176,1.06857,1.25983,1.17502,0.76488,0.66077,0.7375,0.55915,1.00041,0.91981,1.06705,9.07E-05,9.07E-05,9.07E-05
14,38.9099,1.14569,1.30187,1.20819,0.80455,0.65374,0.74199,0.56344,0.99741,0.90661,1.06381,8.84E-05,8.84E-05,8.84E-05
15,41.6111,1.13569,1.29642,1.20265,0.79568,0.66008,0.75591,0.56732,0.99055,0.89576,1.05867,8.60E-05,8.60E-05,8.60E-05
16,44.251,1.10515,1.25734,1.18807,0.7896,0.66541,0.75647,0.57578,0.98364,0.88555,1.0554,8.37E-05,8.37E-05,8.37E-05
17,46.8257,1.10495,1.23601,1.19175,0.81319,0.65869,0.7593,0.57966,0.97631,0.88216,1.05082,8.13E-05,8.13E-05,8.13E-05
18,49.4108,1.1596,1.34089,1.24476,0.80313,0.66444,0.77109,0.58833,0.97247,0.88436,1.04854,7.89E-05,7.89E-05,7.89E-05
19,52.0872,1.07329,1.20887,1.19982,0.77635,0.69805,0.77282,0.58934,0.96897,0.86724,1.04804,7.66E-05,7.66E-05,7.66E-05
20,54.6475,1.10352,1.2488,1.19642,0.76227,0.69505,0.78286,0.59272,0.96355,0.86079,1.04339,7.42E-05,7.42E-05,7.42E-05
21,57.2411,1.15827,1.21426,1.1889,0.75105,0.71891,0.78833,0.59611,0.95816,0.85121,1.04057,7.19E-05,7.19E-05,7.19E-05
22,59.7935,1.11315,1.2045,1.18458,0.79654,0.69441,0.79257,0.59975,0.95253,0.84071,1.03617,6.95E-05,6.95E-05,6.95E-05
23,62.3535,1.07732,1.17627,1.1789,0.78935,0.70695,0.79508,0.60162,0.945,0.82762,1.03009,6.72E-05,6.72E-05,6.72E-05
24,64.94,1.05813,1.16174,1.17094,0.74295,0.74253,0.79616,0.60449,0.94029,0.8267,1.02565,6.48E-05,6.48E-05,6.48E-05
25,67.6417,1.09313,1.20259,1.18836,0.74254,0.74226,0.80052,0.60907,0.93217,0.81385,1.02081,6.25E-05,6.25E-05,6.25E-05
26,70.2077,1.06882,1.19546,1.20219,0.76454,0.73465,0.80273,0.61274,0.92737,0.80816,1.01765,6.01E-05,6.01E-05,6.01E-05
27,72.9138,0.97358,1.08039,1.13736,0.79001,0.72107,0.79612,0.60896,0.92303,0.80985,1.01535,5.77E-05,5.77E-05,5.77E-05
28,75.4892,1.0501,1.16451,1.17768,0.82403,0.69985,0.80333,0.61444,0.91781,0.80398,1.01358,5.54E-05,5.54E-05,5.54E-05
29,78.2277,1.04435,1.13807,1.1821,0.82951,0.69889,0.80752,0.61592,0.91388,0.79758,1.01201,5.30E-05,5.30E-05,5.30E-05
30,80.8814,1.09171,1.12675,1.1878,0.82166,0.70083,0.80762,0.61928,0.91076,0.78137,1.01105,5.07E-05,5.07E-05,5.07E-05
31,83.6871,1.07031,1.15058,1.18994,0.8117,0.71726,0.80846,0.62326,0.90729,0.78744,1.00891,4.83E-05,4.83E-05,4.83E-05
