epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,368.984,0.97478,1.19213,1.43879,0.74383,0.69422,0.75717,0.52886,1.0391,0.99535,1.46029,0.00999758,0.00333253,0.00999758,0.00333253,0.00999758,0.00333253,0.00999758,0.00333253
2,665.002,1.00359,1.25717,1.4602,0.72433,0.66003,0.72706,0.50109,1.06774,1.06592,1.49176,0.0196016,0.00653388,0.0196016,0.00653388,0.0196016,0.00653388,0.0196016,0.00653388
3,948.958,1.0538,1.38178,1.49827,0.70316,0.61488,0.6852,0.45772,1.12742,1.193,1.5387,0.0288097,0.00960323,0.0288097,0.00960323,0.0288097,0.00960323,0.0288097,0.00960323
4,1226.66,1.11498,1.51327,1.55081,0.6652,0.61638,0.67046,0.44355,1.14082,1.21278,1.54919,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1505.3,1.11622,1.52073,1.54577,0.68746,0.60032,0.66087,0.43543,1.1351,1.22186,1.55159,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1785.29,1.11138,1.51101,1.54478,0.67422,0.61914,0.66848,0.43984,1.133,1.22183,1.54656,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2065.89,1.10588,1.49711,1.53957,0.70128,0.62261,0.68965,0.46032,1.1314,1.19398,1.54701,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2344.28,1.10087,1.48268,1.53277,0.69501,0.64643,0.70629,0.47113,1.11119,1.16514,1.53094,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2621.15,1.08971,1.47317,1.52847,0.69803,0.64458,0.70159,0.47097,1.11469,1.15271,1.52288,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2899.1,1.08375,1.45576,1.51756,0.71508,0.63341,0.70417,0.47219,1.10911,1.14069,1.52153,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3176.27,1.0877,1.43968,1.51794,0.72088,0.6466,0.71682,0.48373,1.09508,1.11671,1.49595,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3459.66,1.07755,1.43031,1.51049,0.72288,0.65445,0.72181,0.48991,1.0915,1.11696,1.49514,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3741.3,1.06949,1.41712,1.50251,0.72992,0.64824,0.72479,0.49839,1.07523,1.09211,1.48735,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4023.14,1.06542,1.39941,1.50086,0.72888,0.65433,0.72966,0.49785,1.0793,1.07782,1.48947,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,7959,1.06296,1.39106,1.49762,0.71449,0.67034,0.7323,0.5041,1.07635,1.06412,1.47759,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,8274.93,1.05306,1.37518,1.48698,0.74258,0.6661,0.74067,0.51098,1.06556,1.05452,1.46595,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,8603.21,1.04789,1.36527,1.48357,0.73899,0.67369,0.74729,0.51778,1.05173,1.04781,1.45396,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,8933.97,1.04252,1.35244,1.47715,0.74822,0.67089,0.74474,0.51783,1.05344,1.03381,1.45235,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,9216.96,1.04001,1.35184,1.47667,0.75871,0.67769,0.75255,0.52334,1.04652,1.02812,1.4515,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,9501.06,1.03378,1.33106,1.46775,0.75974,0.68069,0.758,0.52818,1.04388,1.01459,1.44839,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,9785.71,1.03265,1.33109,1.46931,0.765,0.68029,0.75955,0.52849,1.0366,1.00564,1.43805,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,10070.4,1.02134,1.31114,1.45901,0.75823,0.68643,0.75697,0.52998,1.0295,0.99699,1.43471,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,10355,1.02362,1.29787,1.46085,0.76518,0.69111,0.768,0.54008,1.02572,0.98552,1.42727,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,10776.4,1.01166,1.28199,1.44946,0.76736,0.68166,0.76155,0.53442,1.0242,0.98672,1.426,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,11362.2,1.0101,1.28441,1.4487,0.76314,0.68018,0.76279,0.53851,1.01638,0.98197,1.42037,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,11945.1,1.00919,1.27217,1.44552,0.77974,0.68541,0.77112,0.54318,1.01822,0.97669,1.41976,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,12521.5,0.99941,1.25404,1.43803,0.77456,0.69297,0.77154,0.54457,1.01083,0.96519,1.41252,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,13107,1.00034,1.25083,1.43991,0.76663,0.70354,0.7721,0.5474,1.01096,0.95987,1.41164,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,13684,0.99321,1.24094,1.4321,0.77675,0.69582,0.77452,0.55004,1.00423,0.95413,1.40508,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,14263.6,0.98863,1.23566,1.43031,0.79562,0.68839,0.77933,0.55183,1.0055,0.94677,1.40678,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,14587.8,0.98061,1.20523,1.41985,0.77389,0.70057,0.7798,0.55518,0.99846,0.94057,1.40109,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,14872.1,0.97095,1.20458,1.41485,0.77431,0.70055,0.78133,0.55729,0.998,0.93929,1.39747,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,15154.1,0.97826,1.19749,1.41755,0.78026,0.70097,0.78254,0.55897,0.99347,0.92971,1.39189,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,15436.6,0.97146,1.1854,1.41097,0.77529,0.70559,0.783,0.56103,0.99094,0.92579,1.3898,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,15718.8,0.96103,1.17114,1.4057,0.77329,0.71491,0.78615,0.56488,0.98927,0.92077,1.38964,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,15999.8,0.96086,1.15869,1.40296,0.7873,0.70604,0.78758,0.56365,0.98811,0.91601,1.38845,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,16277.3,0.95509,1.15126,1.39531,0.77793,0.71188,0.79054,0.56696,0.98403,0.91004,1.38458,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,16554.2,0.94991,1.13721,1.39178,0.77654,0.71332,0.79206,0.56934,0.98364,0.90892,1.38199,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,16832.9,0.94469,1.12916,1.38544,0.79211,0.70679,0.79475,0.57064,0.98364,0.90266,1.38153,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,17110.8,0.93969,1.12151,1.38759,0.78402,0.71349,0.79296,0.56961,0.98061,0.8994,1.37933,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,17452.6,0.88581,0.91181,1.34733,0.77334,0.72317,0.79241,0.56795,0.97993,0.89941,1.38055,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,17729.1,0.86835,0.88421,1.33656,0.7732,0.72067,0.79167,0.56929,0.97956,0.89716,1.38215,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,18005.9,0.86031,0.85877,1.32598,0.77788,0.71492,0.79117,0.56991,0.97812,0.89438,1.38199,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,18283.8,0.85223,0.84679,1.31978,0.77897,0.71765,0.79238,0.57081,0.97714,0.8928,1.38114,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,18561.6,0.84176,0.83155,1.3092,0.77537,0.72266,0.79253,0.5711,0.97648,0.89139,1.38019,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,18838.2,0.83637,0.81424,1.30459,0.78533,0.71563,0.79281,0.57155,0.97605,0.8902,1.37908,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,19114.2,0.83216,0.80385,1.30014,0.7878,0.71456,0.79299,0.57196,0.9754,0.88922,1.37852,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,19390.4,0.82207,0.7913,1.2967,0.78985,0.71309,0.79344,0.57191,0.97594,0.88836,1.37956,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,19669.1,0.81897,0.77929,1.2921,0.78699,0.71661,0.79361,0.57239,0.9758,0.88811,1.37959,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,19953.7,0.81387,0.76765,1.2863,0.78069,0.7216,0.79332,0.57231,0.97596,0.88763,1.37982,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
