epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,334.26,1.07079,2.60385,1.35088,0.57298,0.55732,0.55839,0.35429,1.14199,1.61066,1.36654,0.00999758,0.00333253,0.00999758,0.00333253,0.00999758,0.00333253,0.00999758,0.00333253
2,602.751,1.20616,2.26203,1.46457,0.50216,0.49145,0.48507,0.29083,1.26771,1.75947,1.51849,0.0196016,0.00653388,0.0196016,0.00653388,0.0196016,0.00653388,0.0196016,0.00653388
3,854.018,1.31073,2.3712,1.55351,0.42039,0.42066,0.38305,0.21116,1.40204,1.93421,1.64894,0.0288097,0.00960323,0.0288097,0.00960323,0.0288097,0.00960323,0.0288097,0.00960323
4,1098.23,1.36565,2.3603,1.60832,0.47927,0.44697,0.42922,0.25094,1.35015,1.76226,1.60775,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1347.9,1.30251,2.15518,1.56429,0.52175,0.50076,0.49019,0.29613,1.28671,1.64517,1.53946,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1593.94,1.25612,2.01376,1.52474,0.56263,0.55363,0.54966,0.34238,1.22007,1.52858,1.47795,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1850.09,1.22737,1.91548,1.50394,0.60766,0.55705,0.57931,0.37027,1.20655,1.42633,1.46478,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2103.32,1.19718,1.83476,1.47851,0.61976,0.57666,0.61193,0.39218,1.17358,1.37859,1.43072,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2356.68,1.16886,1.77606,1.46342,0.65639,0.57906,0.63,0.41283,1.15871,1.31201,1.41255,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2602.25,1.14902,1.71902,1.44449,0.65653,0.58646,0.63773,0.4215,1.13069,1.28452,1.39544,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2846.9,1.14068,1.67774,1.43337,0.65278,0.61206,0.65664,0.43932,1.11588,1.24211,1.38351,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3100.81,1.12283,1.63319,1.42227,0.68719,0.62336,0.6816,0.45468,1.1028,1.22565,1.36667,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3354.25,1.11297,1.60661,1.41299,0.6997,0.62858,0.69168,0.46566,1.0883,1.16677,1.35657,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3606.45,1.09802,1.56921,1.39833,0.72332,0.62721,0.69896,0.47704,1.07978,1.14112,1.34887,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3857.49,1.08715,1.53755,1.39116,0.70644,0.64416,0.7095,0.48742,1.06856,1.1159,1.33446,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4110.26,1.0729,1.51159,1.38266,0.72378,0.65943,0.71606,0.49278,1.04854,1.09546,1.31895,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4371.56,1.06489,1.48998,1.37684,0.72584,0.66011,0.72669,0.5038,1.0359,1.07203,1.30847,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4631.53,1.05959,1.46616,1.36926,0.73083,0.66428,0.73347,0.51177,1.03222,1.05602,1.30065,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,4882.12,1.05242,1.45535,1.36232,0.7286,0.66807,0.73906,0.51802,1.01784,1.04705,1.28894,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,5131.9,1.04151,1.42565,1.35639,0.7411,0.68351,0.74574,0.52162,1.01848,1.02222,1.28643,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,5379.11,1.03799,1.40461,1.35165,0.75425,0.67619,0.74924,0.52778,1.00926,1.01243,1.28004,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,5625.14,1.0228,1.38664,1.34104,0.75999,0.67571,0.75597,0.53741,0.99753,0.99297,1.26488,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,5869.07,1.02337,1.36213,1.3388,0.76245,0.68903,0.76055,0.53887,0.9951,0.97965,1.26313,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,12755.2,1.0088,1.33969,1.3295,0.7612,0.69025,0.76507,0.54443,0.98628,0.97243,1.2573,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,12995.5,1.00291,1.33201,1.32433,0.75579,0.69067,0.76409,0.54887,0.97776,0.95979,1.25068,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,13234.1,1.00049,1.32058,1.32498,0.76865,0.69274,0.77018,0.55216,0.98217,0.95331,1.25569,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,13473.5,0.99198,1.29833,1.31536,0.77394,0.70177,0.7774,0.55758,0.97683,0.93832,1.24782,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,13721.6,0.98893,1.29293,1.3154,0.7761,0.69339,0.77528,0.55809,0.96709,0.93236,1.24289,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,13961.8,0.98216,1.27473,1.30555,0.78081,0.70391,0.7814,0.5638,0.96253,0.92554,1.23738,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,14201.3,0.97856,1.2654,1.30383,0.77928,0.70774,0.78591,0.56811,0.9605,0.91783,1.23275,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,14440.9,0.96404,1.23739,1.29052,0.7891,0.71158,0.78924,0.57006,0.9595,0.91261,1.23363,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,14679.8,0.95503,1.23226,1.28957,0.78303,0.70652,0.79139,0.57228,0.95479,0.90692,1.22843,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,14918.7,0.95951,1.22094,1.29017,0.79099,0.70593,0.79098,0.57442,0.94824,0.89996,1.22125,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,15158.5,0.9503,1.20122,1.28291,0.78494,0.70856,0.79248,0.57686,0.94482,0.89256,1.2176,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,15397.4,0.94278,1.1851,1.27643,0.78767,0.71786,0.79444,0.58072,0.94333,0.88134,1.21676,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,15637.6,0.94047,1.16742,1.27395,0.78877,0.71974,0.79757,0.58296,0.93869,0.8771,1.21194,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,15879.1,0.93294,1.16268,1.26538,0.79692,0.71593,0.80048,0.58703,0.93553,0.87303,1.21053,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,16119.2,0.92617,1.14325,1.2641,0.79194,0.72208,0.80293,0.5895,0.93419,0.86787,1.2088,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,16360.2,0.921,1.13526,1.25935,0.78977,0.72727,0.80475,0.5908,0.93176,0.86295,1.20601,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,16599.8,0.91385,1.12775,1.25932,0.7857,0.7331,0.80609,0.59111,0.92773,0.86018,1.20314,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,16890.3,0.87142,0.93445,1.23047,0.79346,0.72672,0.80571,0.59214,0.92525,0.85514,1.20247,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,17129.1,0.8553,0.91029,1.22321,0.80357,0.72346,0.8054,0.5928,0.92281,0.85188,1.20143,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,17369.1,0.84312,0.88342,1.21302,0.79558,0.72349,0.80428,0.59382,0.92204,0.84809,1.20155,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,17608,0.83418,0.87056,1.20489,0.80497,0.72135,0.80478,0.59434,0.92261,0.84624,1.20206,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,17847.2,0.82422,0.85248,1.1942,0.81108,0.71558,0.80473,0.59392,0.92165,0.84467,1.20185,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,18086.7,0.8152,0.83065,1.19097,0.80977,0.71666,0.80539,0.59468,0.91996,0.83964,1.20066,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,18326.7,0.80671,0.82108,1.1843,0.80863,0.71989,0.80541,0.59428,0.91863,0.83753,1.20004,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,18564.8,0.80097,0.81004,1.18049,0.80861,0.71872,0.80661,0.59484,0.91751,0.836,1.19902,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,18802.8,0.79562,0.79213,1.17765,0.8053,0.72177,0.80724,0.59604,0.91697,0.83436,1.19832,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,19042.2,0.78273,0.78227,1.16652,0.80644,0.72042,0.80718,0.59631,0.91619,0.83323,1.19735,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
