epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,491.305,2.32679,3.09847,3.13894,0.37383,0.38491,0.31199,0.15265,1.70933,2.29651,2.40354,0.00999758,0.00333253,0.00999758,0.00333253,0.00999758,0.00333253,0.00999758,0.00333253
2,1195.26,1.61441,2.42647,2.1804,0.4032,0.40029,0.34694,0.18012,1.63265,2.1178,2.24717,0.0196016,0.00653388,0.0196016,0.00653388,0.0196016,0.00653388,0.0196016,0.00653388
3,1720.01,1.52927,2.39348,2.03704,0.40492,0.39979,0.3442,0.18405,1.53632,2.04081,2.06737,0.0288097,0.00960323,0.0288097,0.00960323,0.0288097,0.00960323,0.0288097,0.00960323
4,2097.15,1.49189,2.3731,1.97683,0.4386,0.43328,0.40958,0.23004,1.44869,1.85077,1.95303,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2477.98,1.41342,2.20912,1.88338,0.50968,0.48689,0.4739,0.27447,1.3964,1.73781,1.89187,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2869.29,1.36039,2.08386,1.82101,0.5317,0.49869,0.50301,0.29484,1.3465,1.65249,1.81045,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3251.05,1.32887,1.99851,1.78748,0.56921,0.49602,0.5182,0.31301,1.31952,1.60007,1.79468,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3630.01,1.29991,1.93008,1.75626,0.5998,0.52464,0.56894,0.34577,1.27474,1.50693,1.73833,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4009.07,1.27145,1.87738,1.7351,0.61746,0.55825,0.5966,0.37014,1.25967,1.44736,1.71951,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4390.09,1.24788,1.82315,1.70631,0.62455,0.55803,0.60518,0.3804,1.24036,1.41074,1.70004,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4760.56,1.23986,1.77888,1.69327,0.63421,0.58099,0.62344,0.39259,1.21051,1.35253,1.66434,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,5143.9,1.22112,1.74579,1.67853,0.65844,0.58793,0.63868,0.4083,1.20136,1.34024,1.65493,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5521.8,1.20343,1.71476,1.6618,0.66605,0.59201,0.653,0.42235,1.18008,1.29746,1.62817,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5900.17,1.19273,1.6801,1.65134,0.68134,0.59295,0.66179,0.43008,1.16386,1.27081,1.61599,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,6276.24,1.18093,1.65598,1.63873,0.65913,0.60499,0.66367,0.43277,1.15982,1.24668,1.59785,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,6737.16,1.16651,1.62657,1.6253,0.6713,0.6244,0.6683,0.44202,1.14295,1.23153,1.59471,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,7260.17,1.15866,1.60108,1.61638,0.70989,0.62367,0.69146,0.45834,1.13306,1.21007,1.58604,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,7604.01,1.14846,1.58607,1.60673,0.71402,0.62886,0.69862,0.46593,1.12506,1.17818,1.56492,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,7876.71,1.14119,1.56998,1.59666,0.69899,0.63559,0.69897,0.47108,1.1115,1.16974,1.55406,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,8146.5,1.13358,1.54714,1.58887,0.71784,0.63632,0.71058,0.47588,1.11256,1.14562,1.55504,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,8418.88,1.1248,1.53213,1.58345,0.7223,0.6453,0.71429,0.48012,1.10374,1.13604,1.54247,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,8693.94,1.11334,1.50962,1.56875,0.72761,0.64213,0.71928,0.4879,1.09174,1.12225,1.52773,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,8967.13,1.10879,1.48625,1.56292,0.72744,0.65301,0.72907,0.49493,1.09012,1.10345,1.52445,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,9243.76,1.09717,1.46793,1.55398,0.70974,0.66065,0.72537,0.49441,1.07793,1.10449,1.51072,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,9519.31,1.09158,1.45769,1.5466,0.7192,0.66624,0.73274,0.49905,1.07597,1.09052,1.50443,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,9793.23,1.09078,1.45005,1.54615,0.73078,0.67178,0.73923,0.50734,1.06862,1.07456,1.50011,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,10066.2,1.07606,1.42456,1.53238,0.7456,0.66926,0.74524,0.51447,1.05886,1.0636,1.49173,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,10339.3,1.07527,1.41702,1.53472,0.73624,0.67444,0.74722,0.51698,1.05272,1.05181,1.48819,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,10610.9,1.06745,1.39882,1.52494,0.74788,0.67563,0.74741,0.51875,1.05009,1.04539,1.48218,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,10883,1.06343,1.39437,1.5186,0.75037,0.67929,0.75633,0.52569,1.04502,1.03396,1.47539,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,11158.1,1.04969,1.36137,1.50469,0.75235,0.67883,0.75704,0.52838,1.04048,1.02749,1.47184,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,11430.1,1.04188,1.35345,1.50094,0.76248,0.68046,0.76029,0.53174,1.03673,1.02142,1.46612,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,11701.9,1.04719,1.34548,1.5037,0.74759,0.69775,0.76527,0.53797,1.03204,1.0064,1.4613,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,11976.8,1.03632,1.33032,1.49337,0.76525,0.68279,0.76467,0.53819,1.02531,1.00182,1.45662,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
